Symbol,Issue_Name,Primary_Listing_Mkt
ALL PRH,The Allstate Corporation,NYSE
ALL PRI,The Allstate Corporation,NYSE
ALLE,Allegion Public Limited Company,NYSE
ALLIF,Alpha Lithium Corp Ordinary Shares,U
ALLK,Allakos Inc. Common Stock,NASDAQ
ALLM,"Alliance Bioenergy Plus, Inc. Common Stock",U
ALLN,Allin Corporation. Common Stock,U
ALLO,"Allogene Therapeutics, Inc. Common Stock",NASDAQ
ALLPF,Arocell AB Uppsala Ordinary Shares (Sweden),U
ALLQ,ALL-Q-TELL Corporation. Common Stock,U
ALLT,Allot Ltd. Ordinary Shares,NASDAQ
ALLVF,Altice Europe N V Ordinary Shares,U
ALLWF,ALLIED MINDS LTD Ordinary Shares (United Kingdom),U
ALLXF,ARIS GOLD CORP Common Stock,U
ALLY,Ally Financial Inc.,NYSE
ALLY PRA,"GMAC Capital Trust I  8.125% Fixed Rate/Floating Rate Trust Preferred Securities, Series 2",NYSE
ALMC,Alimco Financial Corporation Common Stock,U
ALME,Alamo Energy Corporation Common Stock,U
ALMFF,Altium Ltd Ordinary Shares (Australia),U
ALMMF,Aluminum Corp China Limited Aluminum Corp China Limited H Shares,U
ALMTF,Almonty Industries Inc. Ordinary Shares (Canada),U
ALMY,Alchemy Creative Inc COM,U
ALNA,"Allena Pharmaceuticals, Inc. Common Stock",NASDAQ
ALNKF,Arealink Co Ltd Tokyo Ordinary Shares,U
ALNPF,ANA Holdings Inc. Ordinary Shares,U
ALNPY,ANA Holdings Inc. Ord American Depositary Shares,U
ALNRF,Mediclinic Intl PLC Ordinary Shares (United Kingdom),U
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",NASDAQ
ALOD,"Allied Resources, Inc. Common Stock",U
ALORY,Alior Bank SA Unsponsored ADR (Poland),U
ALOT,"AstroNova, Inc. Common Stock",NASDAQ
ALOXF,Ayalaland Logistics Holdings Corporation Common Shares (Philippines),U
ALP PRQ,"Alabama Power Company 5.00% Class A Preferred Stock, Cumulative, Par Value $1 Per Share (Stated Capi",NYSE
ALPAU,Alpha Healthcare Acquisition Corp. III Units,NASDAQ
ALPC,Alpha Investment Inc. Common Stock,U
ALPE,alpha-En Corporation Common Stock,U
ALPGF,Alpha Growth PLC Ordinary Shares (United Kingdom),U
ALPIB,Alpine Bks Colo CL B Common Shares,U
ALPKF,Alpek SAB DE CV Ordinary Shares Financial Groups & Industrial Retail (Mexico),U
ALPMF,Astellas Pharma Inc Ordinary Shares (Japan),U
ALPMY,Astellas Pharma Inc Unsponsored ADR (Japan),U
ALPN,"Alpine Immune Sciences, Inc. Common Stock",NASDAQ
ALPP,"Alpine 4 Holdings, Inc. Common Stock",U
ALPVN,Alabama Power Company 4.60 Preferred Stock,U
ALRGF,Antler Gold Inc. Ordinary Shares (Canada),U
ALRHF,Allreal Holding Ag Zug Reg Shs (Switzerland),U
ALRM,"Alarm.com Holdings, Inc. Common Stock",NASDAQ
ALRN,"Aileron Therapeutics, Inc. Common Stock",NASDAQ
ALRS,Alerus Financial Corporation Common Stock,NASDAQ
ALRT,"ALR Technologies, Inc. Common Stock",U
ALRY,Allenergy Inc Common Stock,U
ALSE,"Alseres Pharmaceuticals, Inc. Common Stock",U
ALSI,"Atlas Resources International, Inc. Common Stock",U
ALSK,"Alaska Communications Systems Group, Inc. Common Stock",NASDAQ
ALSMY,Alstom Unsponsored ADR (France),U
ALSN,"ALLISON TRANSMISSION HOLDINGS, INC.",NYSE
ALSRF,"Alstria Office AG, Hamburg Ordinary Shares",U
ALSSF,Alsea Sa Ordinary Shares,U
ALST,"Allstar Health Brands, Inc. Common Stock",U
ALSYY,ALS LTD American Depositary Receipts - Unsponsored (Australia),U
ALT,"Altimmune, Inc. Common Stock",NASDAQ
ALTA,Altabancorp Common Stock,NASDAQ
ALTAF,Altura Mining Ltd Ordinary Shares (Australia),U
ALTB,Alpine Auto Brokers Inc Common Stock,U
ALTD,"Altitude International, Inc. Common Stock",U
ALTG,Alta Equipment Group Inc.,NYSE
ALTG PRA,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A C,NYSE
ALTGF,Altagas Ltd Preference Shares  Series C Canada (CA),U
ALTHF,Altech Chemicals Ltd. Ordinary Shares (Australia),U
ALTL,Pacer Lunt Large Cap Alternator ETF,ARCA
ALTM,Altus Midstream Company Class A Common Stock,NASDAQ
ALTMW,Altus Midstream Company Warrant Exp 06/30/2022,U
ALTO,"Alto Ingredients, Inc. Common Stock",NASDAQ
ALTPF,Altiplano Metals Inc Ordinary Shares,U
ALTR,Altair Engineering Inc. Class A Common Stock,NASDAQ
ALTS,ProShares Morningstar Alternatives Solution ETF,BATS
ALTSF,Alturas Minerals Corp Ordinary shares (Canada),U
ALTU,Altitude Acquisition Corp. Class A Common Stock,NASDAQ
ALTUF,ALTUS STRATEGIES PLC Ordinary Shares,U
ALTUU,Altitude Acquisition Corp. Unit,NASDAQ
ALTUW,Altitude Acquisition Corp. Warrant,NASDAQ
ALTX,Altex Industries Inc Common Stock,U
ALTY,Global X Funds Global X SuperDividend Alternatives ETF,NASDAQ
ALUS,Alussa Energy Acquisition Corp.,NYSE
ALUS U,Alussa Energy Acquisition Corp.,NYSE
ALUS WS,"Alussa Energy Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for one Ordinary",NYSE
ALV,"Autoliv, Inc.",NYSE
ALVLF,Big Ridge Gold Corp. Common Shares,U
ALVNF,ALVIVA HLDGS LTD Ordinary Shares  South Africa(ZA ),U
ALVOF,Alvopetro Energy Ltd Common Shares (Canada),U
ALVR,"AlloVir, Inc. Common Stock",NASDAQ
ALVRQ,Alvarion Ltd. Ordinary Shares,U
ALVVF,ALTICE N V Ordinary Shares (Netherlands),U
ALX,Alexander's Inc.,NYSE
ALXEF,ALX RES CORP Common Shares,U
ALXN,"Alexion Pharmaceuticals, Inc. Common Stock",NASDAQ
ALXO,ALX Oncology Holdings Inc. Common Stock,NASDAQ
ALXXF,Anante Logixx Inc Common Shares,U
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,NASDAQ
ALYE,"Aly Energy Services, Inc. Common Stock",U
ALYI,"Alternet Systems, Inc. Common Stock",U
ALZCF,ALZCHEM GROUP AG AGINHABER AKTIEN O N Ordinary Shares,U
ALZN,"Alzamend Neuro, Inc. Common Stock",NASDAQ
ALZPF,Alony Hetz Properties & Investments Ltd Ordinary Shares (Israel),U
AM,Antero Midstream Corporation Common Stock,NYSE
AMADF,Amadeus IT Group SA Ordinary Shares,U
AMADY,Amadeus IT Group SA American Depositary Receipts - Unsponsored,U
AMAL,Amalgamated Financial Corp. Common Stock (DE),NASDAQ
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),NYSE
AMANF,Amano Corp Ordinary Shares,U
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,NASDAQ
AMAOU,American Acquisition Opportunity Inc. Units,NASDAQ
AMAOW,American Acquisition Opportunity Inc. Warrant,NASDAQ
AMAT,"Applied Materials, Inc. Common Stock",NASDAQ
AMAZ,AMAZING ENERGY OIL & GAS CO Common Stock,U
AMBA,"Ambarella, Inc. Ordinary Shares",NASDAQ
AMBBY,Ambu AS American Depositary Receipts - Unsponsored (Denmark),U
AMBC,"Ambac Financial Group, Inc.",NYSE
AMBC WS,"Ambac Financial Group, Inc.",NYSE
AMBD,American Mobile Dental Corp. Common Stock,U
AMBEF,AMBEA AB	SHARE AK Ordinary Shares Sweden(SE ),U
AMBFF,Ambu A/S Ordinary Shares,U
AMBG,AMBG INC Common Stock,U
AMBK,American Bank Inc Common Stock,U
AMBKP,American Bank Inc Capital Trust I 6% Convertible Preferred,U
AMBO,"Ambow Education Holding Ltd. American Depository Shares, each representing two Class A ordinary shar",AMEX
AMBS,"Amarantus Bioscience Holdings, Inc. Common Stock",U
AMBZ,American Business Bank Common Stock,U
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",NYSE
AMCA,iShares Trust iShares Russell 1000 Pure U.S. Revenue ETF,NASDAQ
AMCCF,Amcor PLC CDI 1:1,U
AMCF,Andatee China Marine Fuel Services Corporation Common Stock,U
AMCIU,AMCI Acquisition Corp. II Units,NASDAQ
AMCR,Amcor plc Ordinary Shares,NYSE
AMCT,American Ed Ctr Inc Common Stock,U
AMCUF,Amata Corp Public Co Ltd Units Non-Voting Depositary Receipt (Thailand),U
AMCX,AMC Networks Inc. Class A Common Stock,NASDAQ
AMCY,"ACS Global, Inc. Common Stock",U
AMD,"Advanced Micro Devices, Inc. Common Stock",NASDAQ
AMDDW,"SiNtx Technologies, Inc. Warrant",U
AMDHF,CardieX Ltd. Ordinary Shares,U
AMDIF,AMUNDI INDEX SOLUTIONS SICAV SHS AMUNDI I SOL MSCI EM ASIA UCI ETF USD C (Luxembourg),U
AMDLY,Amada Co. Ltd American Depositary Receipts - Unsponsored,U
AMDUF,AMUNDI SA Ordinary Shares France(FR ),U
AMDWF,Amada Hldgs Co Ltd Ordinary Shares (Japan),U
AME,"Ametek, Inc.",NYSE
AMED,Amedisys Inc Common Stock,NASDAQ
AMEFF,APPRECIATED MEDIA HLDGS INC Ordinary Shares,U
AMEH,"Apollo Medical Holdings, Inc. Common Stock",NASDAQ
AMEN,AMEN Properties Inc Common Stock,U
AMER,Emles Made in America ETF,BATS
AMEUF,Anteris Technologies Ltd.  Ordinary Shares,U
AMFC,AMB Financial Corp. Common Stock,U
AMFL,"American Films, Inc. Common Stock",U
AMFPF,Amplifon Spa Milano Ordinary Shares,U
AMFPY,Amplifon Spa Milano Unsponsored ADR (Italy),U
AMG,Affiliated Managers Group,NYSE
AMGDF,ASTON MARTIN LAGONDA GLOBAL HLDGS PLC Ordinary Shares,U
AMGN,Amgen Inc. Common Stock,NASDAQ
AMGRF,AMA GROUP LTD SHS (Australia),U
AMGXF,Anges Inc Ordinary Shares (Japan),U
AMGY,"American Metal & Technology, Inc. Common Stock",U
AMH,AMERICAN HOMES 4 RENT,NYSE
AMH PRF,American Homes 4 Rent,NYSE
AMH PRG,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial intere,NYSE
AMH PRH,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Intere,NYSE
AMHC,Amplitude Healthcare Acquisition Corporation Class A Common Stock,NASDAQ
AMHCU,Amplitude Healthcare Acquisition Corporation Unit,NASDAQ
AMHCW,Amplitude Healthcare Acquisition Corporation Warrants,NASDAQ
AMHD,"HLK Biotec Holding Group, Inc. Common Stock",U
AMHFF,Amanta Resources Inc Ordinary Shares (Canada),U
AMHG,AMERGENT HOSPITALITY GROUP INC Common Stock,U
AMHLF,Amigo Holdings PLC Ordinary Shares United Kingdom(GB ),U
AMHPF,Verde Agritech PLC Ordinary Shares,U
AMHV,American Hemp Ventures Inc. Common Stock,U
AMIGF,"Admiral Group plc, Cardiff Ordinary Shares (United Kingdom)",U
AMIGY,"Admiral Group plc, Cardiff Unsponsored ADR (UK)",U
AMIH,American International Holdings Corp. Common Stock,U
AMIN,American International Industries Inc. Common Stock,U
AMIQF,Ashanti Sankofa Inc Ordinary Shares,U
AMIUF,Abra Mining & Industries AR Ordinary Shares Phillipines (PH),U
AMIVF,Atrium Mtg Invt Corp Common Shares (Canada),U
AMJ,JP Morgan Alerian MLP Index ETN 5/24/24,ARCA
AMK,"AssetMark Financial Holdings, Inc.",NYSE
AMKAF,A.P. Moeller-Maersk A/S A Shares (Denmark),U
AMKBF,A.P. Moeller-Maersk A/S B Shares (Denmark),U
AMKBY,A.P. Moller-Maersk A/S Unsponsored American Depository Receipt (Denmark),U
AMKR,"Amkor Technology, Inc. Common Stock",NASDAQ
AMKYF,ABC-Mart Inc Tokyo Ordinary Shares (Japan),U
AMLC,Amelco Corp Common Stock,U
AMLH,"American Leisure Holdings, Inc. Common Stock",U
AMLLF,Aeon Mall Co Ltd Ordinary Shares,U
AMLM,"American Lithium Minerals, Inc. Common Stock",U
AMLP,Alerian MLP ETF,ARCA
AMLTF,AMP Limited Ordinary Shares (Australia),U
AMLYY,Amp Limited Sponsored ADR (Australia),U
AMLZF,African Minerals Limited Ordinary Shares (Bermuda),U
AMMCF,Amur Minerals Corporation Ordinary shares (British Virgin Islands),U
AMMHF,AMMB Holdings BHD Ordinary Shares (Malaysia),U
AMMJ,"American Cannabis Company, Inc. Common Stock",U
AMMPF,AmmPower Corp Common Stock,U
AMMX,AMERAMEX INTERNATIONAL INC Common Stock,U
AMN,AMN Healthcare Services,NYSE
AMNA,ETRACS Alerian Midstream Energy Index ETN,ARCA
AMNB,"American National Bankshares, Inc. Common Stock",NASDAQ
AMNC,Amincor Inc Class A,U
AMNCB,Amincor Inc Class B,U
AMND,ETRACS Alerian Midstream Energy High Dividend Index ETN,ARCA
AMNE,American Green Group Inc New Common Stock,U
AMNF,"Armanino Foods of Distinction, Inc. New Common Stock",U
AMNL,"Applied Minerals, Inc. Common Stock",U
AMNP,American Sierra Gold Corp. Common Stock,U
AMNTF,ASIA CEMENT CHINA HOLDINGS CORPORATION SHS (Cayman Islands),U
AMNZF,AMBRIAN PLC Ordinary Shares (United Kingdom),U
AMOM,Qraft AI-Enhanced US Large Cap Momentum ETF,ARCA
AMOSF,Atomos Ltd Ordinary Shares (Australia),U
AMOT,"Allied Motion Technologies, Inc.",NASDAQ
AMOV,America Movil SAB de CV,NYSE
AMOVF,"America Movil, S.A. de C.V. Class A Ordinary Shares",U
AMP,"Ameriprise Financial, Inc.",NYSE
AMPCF,Amorepacific Group Inc Ordinary Shares (Republic of South Korea),U
AMPDF,AMPD Ventures Inc Common Stock (Canada),U
AMPE,"Ampio Pharmaceuticals, Inc",AMEX
AMPG,"Amplitech Group, Inc. Common Stock",NASDAQ
AMPGW,"Amplitech Group, Inc. Warrants",NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc. Common Stock",NASDAQ
AMPI,"Advanced Merger Partners, Inc.",NYSE
AMPI U,"Advanced Merger Partners, Inc. Units, each consisting of one share of Class A common stock and one-s",NYSE
AMPI WS,"Advanced Merger Partners, Inc. Warrants, each whole warrant exercisable for one share of Class A Com",NYSE
AMPO,Amperico Corp Com,U
AMPY,Amplify Energy Corp.,NYSE
AMPYW,Amplify Energy Corp. Warrant,U
AMR,"Alpha Metallurgical Resources, Inc.",NYSE
AMRA,"American Racing Capital, Inc. Common Stock",U
AMRB,American River Bankshares Common Stock,NASDAQ
AMRC,"Ameresco, Inc.",NYSE
AMRCF,AM Resources Corp. Common Shares Canada (CA),U
AMRK,"A-Mark Precious Metals, Inc. Common Stock",NASDAQ
AMRN,Amarin Corporation plc,NASDAQ
AMROF,Amaero International Ltd. Ordinary Shares (Australia),U
AMRPF,AmorePacific Corporation Ordinary Shares (South Korea),U
AMRR,American Metals Recovery and Recycling Inc. Common Stock,U
AMRS,"Amyris, Inc. Common Stock",NASDAQ
AMRT,American Mart Corp Common Stock,U
AMRU,"Amaru, Inc. Common Stock",U
AMRWF,AMERIWEST LITHIUM INC Common Shares,U
AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock",NYSE
AMRZF,"Arena Minerals, Inc. Ordinary Shares",U
AMS,American Shared Hospital Services,AMEX
AMSA,American Seniors Association Holding Group Inc Common Stock,U
AMSC,American Superconductor Corporation Common Stock,NASDAQ
AMSF,"AMERISAFE, Inc. Common Stock",NASDAQ
AMSIY,ArcelorMittal South Africa Sponsored ADR (South Africa),U
AMSLF,Australian Mines Limited Ordinary Shares (Australia),U
AMSSY,AMS AG  American Depositary Receipts - Unsponsored (Austria),U
AMST,Amesite Inc. Common Stock,NASDAQ
AMSU,Amanasu Environment Corporation Common Stock,U
AMSWA,"American Software, Inc. Class A Common Stock",NASDAQ
AMSYF,ArcelorMittal Common Shares,U
AMT,American Tower Corporation,NYSE
AMTA,Amistar Corporation Common Stock,U
AMTB,Amerant Bancorp Inc. Class A Common Stock,NASDAQ
AMTBB,Amerant Bancorp Inc. Class B Common Stock,NASDAQ
AMTCQ,Ameritrans Capital Corporation Common Stock,U
AMTI,Applied Molecular Transport Inc. Common Stock,NASDAQ
AMTPQ,Ameritrans Capital Corporation 9.375% Participating Preferred Stock,U
AMTR,ETRACS Alerian Midstream Energy Total Return Index ETN,ARCA
AMTTF,Amot Investments Ltd. Ordinary Shares (Israel),U
AMTX,"Aemetis, Inc. Common Stock",NASDAQ
AMTY,Amerityre Corporation Common Stock,U
AMUB,"ETRACS Alerian MLP Index ETN Series B due July 18, 2042",ARCA
AMVGF,Amvig Holdings Ltd Ordinary Shares (Cayman Islands),U
AMVMF,"AMG Advanced Metallurgical Group NV, Amsterdam Ordinary shares (Netherlands)",U
AMWD,American Woodmark Corporation Common Stock,NASDAQ
AMWK,Ameristar Network Inc. Common Stock,U
AMWL,American Well Corporation,NYSE
AMX,America Movil S.A.B de C.V,NYSE
AMXEF,Amex Expl Inc Ordinary Shares,U
AMXVF,"America Movil, S.A. de C.V. Class L Ordinary Shares (Mexico)",U
AMXX,"Maxx Sports TV, Inc. Common Stock",U
AMYT,Amryt Pharma plc American Depositary Shares,NASDAQ
AMYZF,American Manganese Inc Ordinary Shares (Canada),U
AMZA,InfraCap MLP ETF,ARCA
AMZN,"Amazon.com, Inc. Common Stock",NASDAQ
AN,"AutoNation, Inc.",NYSE
ANAB,"AnaptysBio, Inc. Common Stock",NASDAQ
ANAC,Arctos NorthStar Acquisition Corp.,NYSE
ANAC U,"Arctos NorthStar Acquisition Corp. Units, each consisting of one Class A ordinary share, and one-fou",NYSE
ANAC WS,"Arctos NorthStar Acquisition Corp. Warrants, each whole warrant exercisable for one Class A ordinary",NYSE
ANAS,"Alternaturals, Inc Common Stock",U
ANAT,"American National Group, Inc. Common Stock",NASDAQ
ANAV,Alpha Network Alliance Ventures Inc. Com,U
ANCE,"RESTANCE, INC. Common Stock",U
ANCSQ,American Consumers Inc Common Stock,U
ANCTF,"Alimentation Couche-Tard, Inc. Multiple Voting Shares (Canada)",U
ANCUF,"Alimentation Couche-Tard, Inc. Subordinate Voting Shares (Canada)",U
ANDA,Andina Acquisition Corp. III Ordinary Shares,NASDAQ
ANDAR,Andina Acquisition Corp. III Right,NASDAQ
ANDAU,Andina Acquisition Corp. III Unit,NASDAQ
ANDAW,Andina Acquisition Corp. III Warrant,NASDAQ
ANDC,"Andover Bancorp, Inc. (Ohio) Common Stock",U
ANDD,ANR Inc Contingent Rev Pmt Rt Expires 03/31/2023,U
ANDE,"Andersons, Inc. (The) Common Stock",NASDAQ
ANDFF,Andfjord Salmon AS Ordinary Shares (Norway),U
ANDGF,"Aeon Delight Co., Ltd. Ordinary Shares (Japan)",U
ANDHF,ANDLAUER HEALTHCARE GROUP INC Common Shares SUB VTG Canada(CA ),U
ANDI,Andiamo Corporation Common Stock,U
ANDMF,ANDROMEDA METALS LTD Ordinary Shares,U
ANDOF,Alumindo Light Metal Ind TBK PT Ordinary Shares (Indonesia),U
ANDR,Andrea Electronics Corporation Common Stock,U
ANEB,"Anebulo Pharmaceuticals, Inc. Common Stock",NASDAQ
ANET,Arista Networks,NYSE
ANEW,ProShares MSCI Transformational Changes ETF,ARCA
ANEWF,Australia & N Z Bkg Grp Ord Ordinary Shares,U
ANF,Abercrombie & Fitch Co.,NYSE
ANFGF,Antofagasta Holdings Plc Ordinary Shares,U
ANFIF,Amira Nature Foods Ltd Ordinary Shares,U
ANGCF,Angel Gold Corp. Ordinary Shares (Canada),U
ANGGF,Angang Steel Co Ltd  Ordinary Shares H (China),U
ANGI,Angi Inc. Class A Common Stock,NASDAQ
ANGL,VanEck Vectors Fallen Angel High Yield Bond,NASDAQ
ANGMF,ANGLER GAMING PLC EUR0.01 ORDINARY SHARES (Malta),U
ANGN,Angion Biomedica Corp. Common Stock,NASDAQ
ANGO,"AngioDynamics, Inc. Common Stock",NASDAQ
ANGPY,Anglo American Platinum Ltd American Depositary Receipts - Sponsored (South Africa),U
ANGUF,Canada One Mng Corp Ordinary Shares,U
ANGVF,Angus Gold Inc Other,U
ANHGY,Mediclinic International Plc American Depositary Receipts - Unsponsored,U
ANHTF,"ANICOM HOLDINGS INC, TOKYO Ordinary Shares",U
ANIK,Anika Therapeutics Inc. Common Stock,NASDAQ
ANIOY,Acerinox SA Unsponsored ADR (Spain),U
ANIP,"ANI Pharmaceuticals, Inc.",NASDAQ
ANIX,"Anixa Biosciences, Inc. Common Stock",NASDAQ
ANKOF,Angkor Resources Corp.  Common Shares,U
ANLBF,Aton Res Inc Common Shares,U
ANLDF,Anfield Energy Inc Ordinary Shares,U
ANMP,"Anacomp, Inc. Common Stock",U
ANNMF,Anima Hldgs SPA Ordinary Shares (Italy),U
ANNSF,AENA S A Ordinary Shares (Spain),U
ANNX,"Annexon, Inc. Common Stock",NASDAQ
ANPC,"AnPac Bio-Medical Science Co., Ltd. American Depositary Shares",NASDAQ
ANPCF,"Angle Plc, Surrey Ordinary shares (United Kingdom)",U
ANPCY,"Angle Plc, Surrey Sponsored American Depository Receipt (United Kingdom) American Depositary Receipts - Sponsored",U
ANPDF,Anta Sports Products Limited Ordinary shares (Cayman Islands),U
ANPDY,Anta Sports Products Limited Unsponsored ADR (Cayman Islands),U
ANPFF,"Anpulo Food, Inc. Ordinary Shares",U
ANPMF,ANDEAN PRECIOUS METALS CORP Common Shares,U
ANPOF,American Patriot Oil & Gas Ltd. Ordinary Shares (Australia),U
ANSLF,Ansell Limited Ordinary Shares,U
ANSLY,Ansell Limited Sponsored ADR (Australia),U
ANSNF,Anson Resources Ordinary Shares (Australia),U
ANSS,"ANSYS, Inc. Common Stock",NASDAQ
ANSU,Amanasu Technologies Corp. Common Stock,U
ANTCF,AION THERAPEUTIC INC COM (Canada),U
ANTE,AirNet Technology Inc. American Depositary Shares,NASDAQ
ANTGF,Advantagewon Oil Corp Ordinary Shares,U
ANTH,"Anthera Pharmaceuticals, Inc. Common Stock",U
ANTI,Antigenics Inc (Colorado) Common Stock,U
ANTM,"ANTHEM, INC.",NYSE
ANTMF,ANTILLES GOLD LTD Ordinary Shares,U
ANTOF,IIDA GROUP HLDGS CO LTD Ordinary Shares,U
ANTVF,Antares Vision SRL SPA Azioni Ordinary Shares (Italy),U
ANVI,"Anvi Global Holdings, Inc. Common Stock",U
ANVMF,ANOVA METALS LTD Ordinary Shares,U
ANVS,"Annovis Bio, Inc.",AMEX
ANVV,Anvia Hldgs Corp Common Stock,U
ANXGF,Anaconda Mining Inc. Common Shares,U
ANXNF,ANNEXIN PHARMACEUTICALS AB SHARE AK (Sweden),U
ANY,Sphere 3D Corp. Common Shares,NASDAQ
ANYYY,Aena SME S.A. American Depositary Receipts - Unsponsored,U
ANZBY,Australia and New Zealand Banking Group Limited Common Stock,U
ANZFF,Air New Zealand Ltd Ordinary Shares,U
ANZLY,Air New Zealand Ltd American Depositary Receipts - Sponsored,U
ANZU,Anzu Special Acquisition Corp I Class A Common Stock,NASDAQ
ANZUU,Anzu Special Acquisition Corp I Units,NASDAQ
ANZUW,Anzu Special Acquisition Corp I Warrant,NASDAQ
AOA,iShares Core Aggressive Allocation ETF,ARCA
AOBI,"American Oriental Bioengineering, Inc. Common Stock",U
AOCIF,Autocanada Inc Common Shares (Canada),U
AOD,Aberdeen Total Dynamic Dividend Fund,NYSE
AOECF,AFERIAN PLC Common Stock,U
AOFEF,APOLLO CONS LTD Ordinary Shares (Australia),U
AOGC,Australian Oil & Gas Corporation Common Stock,U
AOHLF,Autohellas SA Ordinary Shares (Greece),U
AOIFF,Africa Oil Corp. Ordinary Shares,U
AOIX,"American Oil & Gas, Inc. Common Stock",U
AOK,iShares Core Moderate Allocation ETF,ARCA
AOLS,"Aeolus Pharmaceuticals, Inc. Common Stock",U
AOM,iShares Core Moderate Allocation ETF,ARCA
AOMFF,Alstom Ordinary Shares Prov Regroupement (France),U
AOMOY,Ao Mosenergo American Depositary Shares,U
AOMR,"Angel Oak Mortgage, Inc.",NYSE
AOMUF,ACSL LTD Common Stock,U
AON,Aon plc Class A,NYSE
AONCF,Advanced Oncotherapy PLC Ordinary Shares,U
AONE,one,NYSE
AONE U,"one Units, each consisting of one Class A ordinary share, and one-fourth of a Warrant to acquire one",NYSE
AONE WS,"one Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of",NYSE
AONNF,Aeon Co Ltd Ordinary Shares,U
AONNY,Aeon Co Ltd American Depositary Shares,U
AOOO,Autoco.Com Inc Common Stock,U
AOR,iShares Core Growth Allocation ETF,ARCA
AOREF,American Overseas Group Limited Common Shares,U
AORGF,Argos Resources Limited SHS (Falkland Islands),U
AOS,A.O. Smith Corporation,NYSE
AOSL,Alpha and Omega Semiconductor Limited Common Shares,NASDAQ
AOTOF,Anoto Group AB Ordinary Shares,U
AOTUF,Precinct Properties New Zealand Ltd Ordinary Shares,U
AOTVF,Ascot Res Ltd Ordinary Shares,U
AOUT,"American Outdoor Brands, Inc. Common Stock",NASDAQ
AOVTF,Andover Mining Corp. Common Shares (Canada),U
AOWDF,AO World Plc Ordinary Shares (United Kingdom GB),U
AOWPY,AO World Plc Usponsored ADR (United Kingdom),U
AOXG,AOXING PHARMACEUTICAL CO INC Common Stock,U
AOXY,"Advanced Oxygen Technologies, Inc. Common Stock",U
AOZOF,Aozora Bank Ltd Ordinary Shares,U
AOZOY,Aozora Bank Ltd Sponsored ADR (Japan),U
AP,Ampco-Pittsburgh Corp.,NYSE
AP WS,Ampco-Pittsburgh Corporation Series A Warrants to purchase Shares of common stock,AMEX
APA,APA Corporation Common Stock,NASDAQ
APAAF,Appia Energy Corp Ordinary Shares (Canada),U
APAJF,APA Group Stapled Security (Australia),U
APAM,ARTISAN PARTNERS ASSET MANAGEMENT INC.,NYSE
APCDF,A Cap Energy Ltd Ordinary Shares,U
APCOF,New Tech Minerals Corp Ordinary Shares,U
APCX,AppTech Corp. Common Stock,U
APD,"Air Products & Chemicals, Inc.",NYSE
APDN,"Applied DNA Sciences, Inc. Common Stock",NASDAQ
APDSF,Autopistas Del Sol SA Shares D 1 Vote (Argentina),U
APEAF,EAGERS AUTOMOTIVE LTD Ordinary Shares,U
APEI,"American Public Education, Inc. Common Stock",NASDAQ
APELF,Alps Electric Co Ltd Ordinary Shares,U
APELY,"Alps Alpine Co., Ltd. American Depositary Receipts - Unsponsored",U
APEMY,Aperam New York Registry Shares,U
APEN,"Apollo Endosurgery, Inc. Common Stock",NASDAQ
APEOF,Growmax Res Corp Common Shares,U
APETF,ALPHA ESPORTS TECH INC CL A Common Shares,U
APEUF,Atlas Engineered Products Ltd. Common Shares,U
APG,APi Group Corporation,NYSE
APGB,Apollo Strategic Growth Capital II,NYSE
APGB U,"Apollo Strategic Growth Capital II Units, each consisting of one Class A ordinary share, and one-fif",NYSE
APGB WS,"Apollo Strategic Growth Capital II Warrants, each exercisable for one Class A Ordinary Share at an e",NYSE
APGI,American Power Group Corp. Common Stock,U
APGMF,Applied Graphene Matls PLC Ordinary Shares (United Kingdom),U
APGOF,Apollo Gold & Silver Corp Common Shares,U
APH,Amphenol Corporation,NYSE
APHE,Alpha Energy Inc  Common Stock,U
APHTF,Alphinat Inc Ordinary Shares (Canada),U
APHWF,APOLLO HEALTHCARE CORP WT EXP 01/03/2022 (Canada),U
API,"Agora, Inc. American Depositary Shares",NASDAQ
APIAF,APIO AFRICA LTD Ordinary Shares,U
APLD,APPLIED BLOCKCHAIN INC Common Stock,U
APLE,"Apple Hospitality REIT, Inc.",NYSE
APLIF,APPILI THERAPEUTICS INC CL A (Canada),U
APLN,"AE Holding I, Inc. Common Stock",U
APLO,"Apollo Bancorp, Inc. (PA) Common Stock",U
APLS,"Apellis Pharmaceuticals, Inc. Common Stock",NASDAQ
APLT,"Applied Therapeutics, Inc. Common Stock",NASDAQ
